state_code,state,county,state_ansi_code,county_ansi_code
AL,Alabama,Autauga County,01,01001
AL,Alabama,Baldwin County,01,01003
AL,Alabama,Barbour County,01,01005
AL,Alabama,Bibb County,01,01007
AL,Alabama,Blount County,01,01009
AL,Alabama,Bullock County,01,01011
AL,Alabama,Butler County,01,01013
AL,Alabama,Calhoun County,01,01015
AL,Alabama,Chambers County,01,01017
AL,Alabama,Cherokee County,01,01019
AL,Alabama,Chilton County,01,01021
AL,Alabama,Choctaw County,01,01023
AL,Alabama,Clarke County,01,01025
AL,Alabama,Clay County,01,01027
AL,Alabama,Cleburne County,01,01029
AL,Alabama,Coffee County,01,01031
AL,Alabama,Colbert County,01,01033
AL,Alabama,Conecuh County,01,01035
AL,Alabama,Coosa County,01,01037
AL,Alabama,Covington County,01,01039
AL,Alabama,Crenshaw County,01,01041
AL,Alabama,Cullman County,01,01043
AL,Alabama,Dale County,01,01045
AL,Alabama,Dallas County,01,01047
AL,Alabama,DeKalb County,01,01049
AL,Alabama,Elmore County,01,01051
AL,Alabama,Escambia County,01,01053
AL,Alabama,Etowah County,01,01055
AL,Alabama,Fayette County,01,01057
AL,Alabama,Franklin County,01,01059
AL,Alabama,Geneva County,01,01061
AL,Alabama,Greene County,01,01063
AL,Alabama,Hale County,01,01065
AL,Alabama,Henry County,01,01067
AL,Alabama,Houston County,01,01069
AL,Alabama,Jackson County,01,01071
AL,Alabama,Jefferson County,01,01073
AL,Alabama,Lamar County,01,01075
AL,Alabama,Lauderdale County,01,01077
AL,Alabama,Lawrence County,01,01079
AL,Alabama,Lee County,01,01081
AL,Alabama,Limestone County,01,01083
AL,Alabama,Lowndes County,01,01085
AL,Alabama,Macon County,01,01087
AL,Alabama,Madison County,01,01089
AL,Alabama,Marengo County,01,01091
AL,Alabama,Marion County,01,01093
AL,Alabama,Marshall County,01,01095
AL,Alabama,Mobile County,01,01097
AL,Alabama,Monroe County,01,01099
AL,Alabama,Montgomery County,01,01101
AL,Alabama,Morgan County,01,01103
AL,Alabama,Perry County,01,01105
AL,Alabama,Pickens County,01,01107
AL,Alabama,Pike County,01,01109
AL,Alabama,Randolph County,01,01111
AL,Alabama,Russell County,01,01113
AL,Alabama,St. Clair County,01,01115
AL,Alabama,Shelby County,01,01117
AL,Alabama,Sumter County,01,01119
AL,Alabama,Talladega County,01,01121
AL,Alabama,Tallapoosa County,01,01123
AL,Alabama,Tuscaloosa County,01,01125
AL,Alabama,Walker County,01,01127
AL,Alabama,Washington County,01,01129
AL,Alabama,Wilcox County,01,01131
AL,Alabama,Winston County,01,01133
AK,Alaska,Aleutians East Borough,02,02013
AK,Alaska,Aleutians West County,02,02016
AK,Alaska,Anchorage Municipality,02,02020
AK,Alaska,Bethel County,02,02050
AK,Alaska,Bristol Bay Borough,02,02060
AK,Alaska,Denali Borough,02,02068
AK,Alaska,Dillingham County,02,02070
AK,Alaska,Fairbanks North Star Borough,02,02090
AK,Alaska,Haines Borough,02,02100
AK,Alaska,Hoonah-Angoon County,02,02105
AK,Alaska,Juneau City and Borough,02,02110
AK,Alaska,Kenai Peninsula Borough,02,02122
AK,Alaska,Ketchikan Gateway Borough,02,02130
AK,Alaska,Kodiak Island Borough,02,02150
AK,Alaska,Lake and Peninsula Borough,02,02164
AK,Alaska,Matanuska-Susitna Borough,02,02170
AK,Alaska,Nome County,02,02180
AK,Alaska,North Slope Borough,02,02185
AK,Alaska,Northwest Arctic Borough,02,02188
AK,Alaska,Petersburg County,02,02195
AK,Alaska,Prince of Wales-Hyder County,02,02198
AK,Alaska,Sitka City and Borough,02,02220
AK,Alaska,Skagway Municipality,02,02230
AK,Alaska,Southeast Fairbanks County,02,02240
AK,Alaska,Valdez-Cordova County,02,02261
AK,Alaska,Wade Hampton County,02,02270
AK,Alaska,Wrangell City and Borough,02,02275
AK,Alaska,Yakutat City and Borough,02,02282
AK,Alaska,Yukon-Koyukuk County,02,02290
AZ,Arizona,Apache County,04,04001
AZ,Arizona,Cochise County,04,04003
AZ,Arizona,Coconino County,04,04005
AZ,Arizona,Gila County,04,04007
AZ,Arizona,Graham County,04,04009
